date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:51:59	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Fri,%2003%20Nov%202023%2019:52:00%20GMT	https://tools.bigtimeportal.com/robots.txt		(from )
16:52:05	954651/954651	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Nov%202023%2019:52:00%20GMT	https://tools.bigtimeportal.com/	D:/clon/tolls/tools.bigtimeportal.com/index.html	(from )
16:52:07	22700/22700	---M-Z	200	added ('OK')	text/css	etag:%221122158-58ac-601c604d72549-gzip%22	https://cdn.datatables.net/1.13.6/css/jquery.dataTables.min.css	D:/clon/tolls/cdn.datatables.net/1.13.6/css/jquery.dataTables.min.css	(from https://tools.bigtimeportal.com/)
16:52:08	59/59	---MCZ	302	error ('Found')	text/plain	date:Fri,%2003%20Nov%202023%2019:52:08%20GMT	https://unpkg.com/flowbite@latest/dist/flowbite.min.css	D:/clon/tolls/unpkg.com/flowbite@latest/dist/flowbite.min.1.delayed	(from https://tools.bigtimeportal.com/)
16:52:10	142550/142550	---MCZ	200	added ('OK')	text/css	etag:%2222cd6-FjjF0MivRaVE35aEHLGdSgKX7y4%22	https://unpkg.com/flowbite@2.0.0/dist/flowbite.min.css	D:/clon/tolls/unpkg.com/flowbite@2.0.0/dist/flowbite.min.css	(from https://tools.bigtimeportal.com/)
16:52:10	284996/284996	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-45944%22	https://code.jquery.com/jquery-3.7.0.js	D:/clon/tolls/code.jquery.com/jquery-3.7.0.js	(from https://tools.bigtimeportal.com/)
16:52:18	87103/87103	---M-Z	200	added ('OK')	application/javascript	etag:%22112216a-1543f-601c604d740a1-gzip%22	https://cdn.datatables.net/1.13.6/js/jquery.dataTables.min.js	D:/clon/tolls/cdn.datatables.net/1.13.6/js/jquery.dataTables.min.js	(from https://tools.bigtimeportal.com/)
16:52:21	15277/15277	---M-Z	200	added ('OK')	application/javascript	etag:%2212a1c56-3bad-5f4574ed200b8-gzip%22	https://cdn.datatables.net/scroller/2.0.5/js/dataTables.scroller.min.js	D:/clon/tolls/cdn.datatables.net/scroller/2.0.5/js/dataTables.scroller.min.js	(from https://tools.bigtimeportal.com/)
16:52:23	235652/235652	---M--	200	added ('OK')	image/png	etag:%221698815511.0-235652-3334409290%22	https://tools.bigtimeportal.com/static/Hourglass_Common.png	D:/clon/tolls/tools.bigtimeportal.com/static/Hourglass_Common.png	(from https://tools.bigtimeportal.com/)
16:52:25	550544/550544	---M--	200	added ('OK')	image/png	etag:%221698815511.0-550544-2920745835%22	https://tools.bigtimeportal.com/static/Hourglass_Rare.png	D:/clon/tolls/tools.bigtimeportal.com/static/Hourglass_Rare.png	(from https://tools.bigtimeportal.com/)
16:52:25	507163/507163	---M--	200	added ('OK')	image/png	etag:%221698815511.0-507163-3784379693%22	https://tools.bigtimeportal.com/static/Hourglass_Uncommon.png	D:/clon/tolls/tools.bigtimeportal.com/static/Hourglass_Uncommon.png	(from https://tools.bigtimeportal.com/)
16:52:26	529633/529633	---M--	200	added ('OK')	image/png	etag:%221698815511.0-529633-3993374076%22	https://tools.bigtimeportal.com/static/Hourglass_Legendary.png	D:/clon/tolls/tools.bigtimeportal.com/static/Hourglass_Legendary.png	(from https://tools.bigtimeportal.com/)
16:52:27	521084/521084	---M--	200	added ('OK')	image/png	etag:%221698815511.0-521084-2916617058%22	https://tools.bigtimeportal.com/static/Hourglass_Epic.png	D:/clon/tolls/tools.bigtimeportal.com/static/Hourglass_Epic.png	(from https://tools.bigtimeportal.com/)
16:52:29	64305/64305	---M-Z	200	added ('OK')	application/javascript	etag:%2260651346-fb31%22	https://cdnjs.cloudflare.com/ajax/libs/socket.io/4.0.1/socket.io.min.js	D:/clon/tolls/cdnjs.cloudflare.com/ajax/libs/socket.io/4.0.1/socket.io.min.js	(from https://tools.bigtimeportal.com/)
16:52:31	328374/328374	---M--	200	added ('OK')	image/jpeg	etag:%22e3ae0dc96dcb9025f598f508e56d504c%22	https://flowbite.s3.amazonaws.com/docs/jumbotron/conference.jpg	D:/clon/tolls/flowbite.s3.amazonaws.com/docs/jumbotron/conference.jpg	(from https://unpkg.com/flowbite@2.0.0/dist/flowbite.min.css)
